REPOSITORY,COMMIT_SHA,SURFACE,DEPENDENCY_RAW,DEPENDENCY_CANONICAL,PLANE,NETWORK_REQUIRED,ACCOUNT_OR_SECRET,COST_MODEL,CORE_OR_OPTIONAL,DATA_ACCESS_EXEMPTION,CLASSIFICATION,STATUS,EVIDENCE_PATH,RATIONALE
moneysweep-pr,74b10245f925bfd9b9ea07b2ce986981d5d65525,federation handoff,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,TOKEN,FREE_HOSTED,OPERATIONAL,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,.github/workflows/centinelas-handoff.yml,GitHub transport is not a data connector.
moneysweep-pr,74b10245f925bfd9b9ea07b2ce986981d5d65525,raw snapshot URLs,cdnjs / DataTables / Font Awesome strings,RAW_SOURCE_CONTENT,EVIDENCE,NOT_EXECUTED_BY_APP,NONE,SOURCE_ORIGIN,PRESERVED,NOT_APPLICABLE,PRESERVE_RAW,PASS,data/raw/guide_financial_avenue_snapshots/**,Remote URLs belong to byte-preserved source HTML and must not be rewritten.
ovnis-pr,af066815759fcf479ee79eeeb921c2809a1a20a4,test tooling,pytest / pytest-cov,PYTHON_TEST_STACK,RUNTIME_DECLARATION,NO,NONE,OPEN_SOURCE,MISCLASSIFIED,NO,MOVE_TO_DEV_EXTRA,OPEN,requirements.txt,Test tools are installed by the runtime/hub-callable requirements file.
ovnis-pr,af066815759fcf479ee79eeeb921c2809a1a20a4,basemap,https://a.tile.openstreetmap.org/{z}/{x}/{y}.png,OSM_RASTER,RUNTIME,YES,NONE,PUBLIC_SERVICE,OPTIONAL_DATA,CANDIDATE,HARDEN_CONNECTOR,OPEN,dashboard/src/components/CaseMap.jsx,Register connector and provide offline neutral background.
ovnis-pr,af066815759fcf479ee79eeeb921c2809a1a20a4,shared UI package,GitHub release tgz @pr-federation/react,PR_FEDERATION_REACT,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,dashboard/package.json,Remote tarball pin does not retain offline bytes.
ovnis-pr,af066815759fcf479ee79eeeb921c2809a1a20a4,shared Python packages,TheHub git source,PRII_SHARED_PYTHON,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,requirements.txt,Remote source must be retained locally with hashes.
ovnis-pr,af066815759fcf479ee79eeeb921c2809a1a20a4,federation handoff,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,TOKEN,FREE_HOSTED,OPERATIONAL,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,.github/workflows/centinelas-intake.yml,Provider-controlled transport cannot be authoritative.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,generated HTML asset,https://unpkg.com/leaflet@1.9.4,LEAFLET_RUNTIME_ASSET,RUNTIME_REPORT,YES,NONE,FREE_HOSTED,CORE_REPORT,NO,BUNDLE_LOCALLY,OPEN,scripts/rlsm_spatial_map.py,Generated report fetches executable CSS/JS remotely.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,generated HTML asset,https://unpkg.com/vis-network/...,VIS_NETWORK_RUNTIME_ASSET,RUNTIME_REPORT,YES,NONE,FREE_HOSTED,CORE_REPORT,NO,BUNDLE_LOCALLY,OPEN,scripts/rlsm_network_graph.py,Generated report fetches executable JS remotely.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,system binary,tesseract-ocr,TESSERACT,RUNTIME_OPTIONAL_PROFILE,NO_AFTER_INSTALL,NONE,OPEN_SOURCE,FR24_PROFILE,NO,BUNDLE_OR_SCOPE_EXCLUDE,OPEN,pyproject.toml,Declared FR24 profile requires an out-of-band executable.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,basemap,https://tile.openstreetmap.org/{z}/{x}/{y}.png,OSM_RASTER,RUNTIME_REPORT,YES,NONE,PUBLIC_SERVICE,OPTIONAL_DATA,CANDIDATE,HARDEN_CONNECTOR,OPEN,scripts/rlsm_spatial_map.py,Register connector and make report useful offline.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,shared UI package,GitHub release tgz @pr-federation/react,PR_FEDERATION_REACT,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,frontend/package.json,Remote tarball pin does not retain offline bytes.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,shared Python packages,TheHub git sources,PRII_SHARED_PYTHON,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,pyproject.toml,Immutable Git pins still require retained local bytes.
skywatcher-pr,6b95f816f1dc2c2081734df582920703743fbdf3,federation handoff,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,TOKEN,FREE_HOSTED,OPERATIONAL,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,.github/workflows/centinelas-handoff.yml,GitHub transport is not a data connector.
spiderweb-pr,f46546ef24c7dc2164b3f203d1af57e7d2570219,frontend versions,latest,FLOATING_NPM_SPEC,BUILD,YES,NONE,REGISTRY,CORE_BUILD,NO,PIN_AND_LOCK,OPEN,server/frontend/package.json,Multiple direct dependencies use a mutable latest spec.
spiderweb-pr,f46546ef24c7dc2164b3f203d1af57e7d2570219,DuckDB extension,INSTALL spatial,DUCKDB_SPATIAL_EXTENSION,RUNTIME,YES_ON_FIRST_USE,NONE,PUBLIC_EXTENSION_SERVICE,SPATIAL_PROFILE,NO,VENDOR_AND_HASH,OPEN,spiderweb/spatial/duckdb_engine.py,Runtime INSTALL may download an extension.
spiderweb-pr,f46546ef24c7dc2164b3f203d1af57e7d2570219,shared Python packages,TheHub git sources,PRII_SHARED_PYTHON,BUILD,YES,NONE,FREE_HOSTED,CORE_BUILD,NO,VENDOR_AND_HASH,OPEN,pyproject.toml,Immutable Git pins still require retained local bytes.
spiderweb-pr,f46546ef24c7dc2164b3f203d1af57e7d2570219,Cesium assets,copy from node_modules; missing -> skip,CESIUM_LOCAL_ASSET_COPY,BUILD,NO,NONE,OPEN_SOURCE,FRONTEND,NO,FAIL_CLOSED_IF_MISSING,OPEN,server/frontend/scripts/copy-cesium-assets.mjs,"Local copy is correct, but silent skipping can create an incomplete release."
thehub-pr,6474028904af463cab513d1755bce0380f7b2ad1,shared UI package,file:../../federation-design/packages/react,PR_FEDERATION_REACT_LOCAL,BUILD,NO,NONE,OPEN_SOURCE,CORE_BUILD,NO,RETAIN_REFERENCE_PATTERN,PASS,server/frontend/package.json,Local file binding is the desired federation pattern.
thehub-pr,6474028904af463cab513d1755bce0380f7b2ad1,federation ingest,GitHub repository_dispatch,GITHUB_OPERATIONAL_TRANSPORT,RUNTIME_AUTOMATION,YES,TOKEN,FREE_HOSTED,OPERATIONAL_CORE,NO,MAKE_OPTIONAL_WITH_LOCAL_DEFAULT,OPEN,.github/workflows/federation-ingest.yml,The Hub depends on GitHub events to refresh aggregate data.
thehub-pr,6474028904af463cab513d1755bce0380f7b2ad1,offline dependency bytes,lockfiles without retained complete byte bundle,OFFLINE_DEPENDENCY_BUNDLE,BUILD,YES_FOR_MISSING_BYTES,NONE,REGISTRY_HOSTED,ALL_PROFILES,NO,CREATE_OFFLINE_BUNDLE,OPEN,federation-audit/runtime/requirements.lock,Pinned versions do not by themselves preserve all rebuild inputs.
