id,severity,scope,finding,status,disposition,evidence
F017,P1,thehub-pr,PR94 head was created against an older base SHA than current main,RESOLVED,"Successor branch cut from current main 58a159f; PR94's additive diff replayed by hand. PR94 itself untouched at 817fb97.",git log claude/federation-ui-operations-z0n1fc
F018,P1,federation,No deletion workflow with explicit informed approval,RESOLVED_BY_ABSENCE,"No operation has a deletion category and the manager exposes no delete endpoint beyond removing a credential the operator stored. Enabling deletion later still requires backup, typed confirmation, a native modal, and a receipt.",reports/federation/gate_evidence.json (G20)
F019,P2,spiderweb-pr,Schema validation depends on make,CONFIRMED_WORSE_THAN_STATED,"The Makefile target is a backslash-continued inline `python -c`, so it needs make AND inline code execution. Neither is representable in a permitted execution form. Requires a real scripts/validate_schemas.py in spiderweb-pr; not fixed in this vector.",docs/FEDERATION_UI_OPERATIONS_HANDOFF_NEXT.md
F020,P2,ovnis-pr,Dedupe and score semantics may mutate ledgers in place,REFUTED_AS_WRITTEN,"Neither script mutates a ledger. Both read JSONL and write a new CSV via --output; score_candidates.py copies each row (out = dict(row)) and never opens an input for writing. The real defect is smaller and different: cwd-relative defaults, fixed centrally by pinning cwd to the app root. Restated as F026.",ovnis-pr/scripts/dedupe_candidates.py; ovnis-pr/scripts/score_candidates.py
F021,P1,thehub-pr,Windows Credential Manager write exposes the value in the process argument vector,RESOLVED,"The write now reads its value from stdin, matching macOS and Linux. The script is passed with -EncodedCommand so stdin carries only the secret, and the target and username arrive as bound PowerShell parameters rather than interpolated text. This mattered more on Windows than the POSIX equivalent: a local unprivileged user can read another process's command line through WMI, while reading its stdin needs debug privilege.",server/backend/federation_manager_secrets.py::WindowsCredentialManagerProvider
F022,P1,thehub-pr,Manager receipt signing key is ephemeral per process,RESOLVED,"signer_from_environment loads a persisted PEM from PRII_MANAGER_RECEIPT_SIGNING_KEY, so receipts still verify after a restart. A configured path that does not exist now raises rather than falling back, because silently reverting to an ephemeral key is how a deployment that asked for durable evidence ends up without it; leaving the variable unset still generates a key but logs that receipts will not survive a restart. Failure mode confirmed live: the receipts already committed under reports/federation cannot be extended, because the key that signed them no longer exists.",server/backend/federation_manager_receipts.py::signer_from_environment
F023,P2,thehub-pr,Body validation precedes authorization on manager POST endpoints,OPEN_ACCEPTED,"FastAPI validates the request body before the auth dependency runs, so an unauthenticated caller sending a malformed body gets 422 rather than 401 -- a small shape disclosure. Accepted: the surface is loopback-only and origin-restricted, and the fields are already public in the policy.",tests/test_federation_operations_api.py::test_every_operations_endpoint_requires_a_session
F024,P2,thehub-pr,Manager sessions and file tokens are in-memory and single-process,OPEN_ACCEPTED,"Neither survives a restart and neither is multi-worker safe. Deliberate: a durable path-to-capability mapping has no benefit for short-lived native sessions. A multi-worker deployment would need shared state.",server/backend/federation_manager_files.py; federation_manager.py::SessionManager
F025,P1,thehub-pr,Two secret models coexist in the repository,OPEN,"src/hub/mcp_runtime/secrets.py:46 exposes a readable SecretManagerProvider.get(). The operations plane uses only the no-readback interface, but the readable one remains reachable elsewhere in the repo and predates this vector.",src/hub/mcp_runtime/secrets.py
F026,P2,ovnis-pr,Producer script output defaults are cwd-relative,RESOLVED_CENTRALLY,"Replaces the surviving half of F020. The executor pins cwd to the app root for every run, so a relative default resolves where the operation expects rather than wherever the manager happened to start.",server/backend/federation_manager_operations.py::build_argv (BuiltCommand.cwd)
F027,P1,thehub-pr,Write-scope audit compared filesystem paths against prose,RESOLVED,"Found during certification: comparing changed paths against the catalog's descriptive write_scope (e.g. ""managed SQLite database"") never matched, so hub.ingest was quarantined despite exiting zero. Scope is now derived from the run's own resolved managed output parameters, plus SQLite -wal/-shm/-journal siblings.",server/backend/federation_manager_runner.py::_declared_write_scopes
F028,P2,thehub-pr,Catalog managed-path defaults were relative to a repo root,RESOLVED,"Defaults such as data/hub.db and data/aggregate assumed a repo-relative cwd; under managed roots they resolved to <data_root>/data/... Rebased onto the managed data root.",tools/build_operations_policy.py
F029,P1,federation,macOS operator certification cannot be produced in this environment,OPEN_AWAITING_OPERATOR,"G07, G15, G16 and G22 require a macOS host, a window server, a native file picker and a Keychain, none of which exist in a headless Linux container. No longer a dead end: scripts/certify_macos_operator.py produces the four attestations on a real Mac, and the hub_slice profile binds those gates to them instead of recording them blocked. The script refuses to run off Darwin and refuses the published fixture seed, and every step is judged on an observed receipt rather than on the operator's answer. Closes once the operator runs it and returns the signed artifacts.",scripts/certify_macos_operator.py; docs/FEDERATION_MACOS_OPERATOR_CERTIFICATION.md
F030,P2,thehub-pr,A policy row carried prose where a rollback strategy identifier was required,RESOLVED,"hub.fetch declared rollback_strategy as 'delete staging checkout; preserve prior current pointer'. Nothing rejected it and no lookup could ever match it, so it counted as a sixth unbuilt strategy and inflated the G13 shortfall. Normalised to delete_staging_download; the builder now validates every value against KNOWN_ROLLBACK_STRATEGIES and refuses to emit a policy containing prose.",tools/build_operations_policy.py::validate_rollback_strategy
F031,P2,thehub-pr,Gate evidence understated the unbuilt rollback strategies as three,RESOLVED,"The count was taken from the strategies with implementations rather than from every value the policy references, so it missed delete_staging_download, transaction_snapshot_and_run_partition_restore and the prose row. The real figure is five unbuilt identifiers, all declared only by operations that cannot run. Restated in the federation_vector G13 reason and pinned by test.",tools/evaluate_federation_gates.py
F032,P1,thehub-pr,Gates about absence or about another host could never reach passed,RESOLVED,"Status was derivable only from receipts, so G03 (code that must never run), G20 (a capability that must not exist) and the macOS gates were structurally stuck at deferred or blocked regardless of how thoroughly they were verified. Signed attestations close the gap without weakening G14: an attestation is machine-produced, signed with the manager key and verified before it counts, so a human still cannot assert a gate green.",server/backend/federation_manager_receipts.py::verify_attestation
